Country,Country Code,Indicator Name,Indicator Code,2023,2024
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1367510,1368333
Tunisia,TUN,"Population, total",SP.POP.TOTL,12200431,12277109
Turkiye,TUR,"Population, total",SP.POP.TOTL,85325965,85518661
Tuvalu,TUV,"Population, total",SP.POP.TOTL,9816,9646
Tanzania,TZA,"Population, total",SP.POP.TOTL,66617606,68560157
Uganda,UGA,"Population, total",SP.POP.TOTL,48656601,50015092
Ukraine,UKR,"Population, total",SP.POP.TOTL,37732836,37860221
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2809441887,2818128105
Uruguay,URY,"Population, total",SP.POP.TOTL,3388081,3386588
United States,USA,"Population, total",SP.POP.TOTL,336806231,340110988
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,35652307,36361859
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,101323,100616
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28300854,28405543
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,38985,39471
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,104917,104377
Viet Nam,VNM,"Population, total",SP.POP.TOTL,100352192,100987686
Vanuatu,VUT,"Population, total",SP.POP.TOTL,320409,327777
World,WLD,"Population, total",SP.POP.TOTL,8064976601,8142056446
Samoa,WSM,"Population, total",SP.POP.TOTL,216663,218019
Kosovo,XKX,"Population, total",SP.POP.TOTL,1682668,1527324
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,39390799,40583164
South Africa,ZAF,"Population, total",SP.POP.TOTL,63212384,64007187
Zambia,ZMB,"Population, total",SP.POP.TOTL,20723965,21314956
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,16340822,16634373
